CAIXA_ID;DOCUMENTO;DESCRICAO;ENTRADA;DATA;HORA;SAIDA;SITUACAO;SALDO;DT_CANCELADA;OBSERVACAO;BOLETO_ID;PAGAR_ID;USUARIO_ID;USUARIO;INST_ID;CAN_MOTIVO;TIPO_CONTAS_ID;DT_LANCADO;DT_ALTERADO;RETORNO_ID;NUMERO_ARQUIVO;ANO_LETIVO;USR_CAD;RESERVA_ID;TIPO_CONTAS_ID_DEST;ORIGEM_ID;CONT_MAT_ID;Conta_Tipo_Nome;;InstNome;EXTRATO;CONTA_ID;OP_PAG_ID;OpcaoPagar;VENDA_LIVRE_ID;LOJA_ID;VENDA_ID;CANCELADO;RECEB_ID;CONTA_ID_DEST;CONTA_NOME;DT_FECHADO;HR_FECHADO;US_FECHADO
232273;Extrato/110302;Bradesco - Cód. 110302;0;2/1/2015;08:46:38;616,57;0;-616,57;;;;110302;60;Francielly;1;;506;16/1/2015;16/1/2015;;;2015;60;;;;;CA.Capital de Giro (FINANCIAMENTO);;COLÉGIO OLIMPO LTDA;;27;9;Débito em conta;;0;;0;;;BRADESCO [008378-0] [SOL] [CC];;;
232274;BRA 2476/39121;Drº Diogo  - Cód. 039121;0;2/1/2015;08:47:06;42500;0;-42500;;;;39121;60;Francielly;1;;536;16/1/2015;16/1/2015;;;2015;60;;;;;CA.Impostos (VERIFICAR);;COLÉGIO OLIMPO LTDA;;27;2;Cheque;;0;;0;;;BRADESCO [008378-0] [SOL] [CC];;;
232014;Extrato/110141;Banco Brb - Cód. 110141;0;2/1/2015;09:02:35;3,5;0;-3,5;;;;110141;60;Francielly;1;;1512;15/1/2015;15/1/2015;;;2015;60;;;;;IOF;;COLÉGIO OLIMPO LTDA;;74;9;Débito em conta;;0;;0;;;BRB [ANA] [011594-4] [CC] [COB];;;
232015;Extrato/110142;Banco Brb - Cód. 110142;0;2/1/2015;09:02:35;45,74;0;-45,74;;;;110142;60;Francielly;1;;1512;15/1/2015;15/1/2015;;;2015;60;;;;;IOF;;COLÉGIO OLIMPO LTDA;;74;9;Débito em conta;;0;;0;;;BRB [ANA] [011594-4] [CC] [COB];;;
232016;Extrato/110143;Banco Brb - Cód. 110143;0;2/1/2015;09:02:35;403,7;0;-403,7;;;;110143;60;Francielly;1;;1512;15/1/2015;15/1/2015;;;2015;60;;;;;IOF;;COLÉGIO OLIMPO LTDA;;74;9;Débito em conta;;0;;0;;;BRB [ANA] [011594-4] [CC] [COB];;;
232024;Extrato/110150;Banco Brb - Par. 110150(07-7);0;2/1/2015;09:08:12;398,39;0;-398,39;;;;110150;60;Francielly;1;;1578;15/1/2015;15/1/2015;;;2015;60;;;;;Marista.Déb.antecipação de Cobrança;;COLÉGIO OLIMPO LTDA;;74;10;Antec. de Boleto;;0;;0;;;BRB [ANA] [011594-4] [CC] [COB];;;
232018;Extrato/110144;Banco Brb - Par. 110144(01-7);0;2/1/2015;09:08:12;1010;0;-1010;;;;110144;60;Francielly;1;;1578;15/1/2015;15/1/2015;;;2015;60;;;;;Marista.Déb.antecipação de Cobrança;;COLÉGIO OLIMPO LTDA;;74;10;Antec. de Boleto;;0;;0;;;BRB [ANA] [011594-4] [CC] [COB];;;
232019;Extrato/110145;Banco Brb - Par. 110145(02-7);0;2/1/2015;09:08:12;1492;0;-1492;;;;110145;60;Francielly;1;;1578;15/1/2015;15/1/2015;;;2015;60;;;;;Marista.Déb.antecipação de Cobrança;;COLÉGIO OLIMPO LTDA;;74;10;Antec. de Boleto;;0;;0;;;BRB [ANA] [011594-4] [CC] [COB];;;
232020;Extrato/110146;Banco Brb - Par. 110146(03-7);0;2/1/2015;09:08:12;1417,4;0;-1417,4;;;;110146;60;Francielly;1;;1578;15/1/2015;15/1/2015;;;2015;60;;;;;Marista.Déb.antecipação de Cobrança;;COLÉGIO OLIMPO LTDA;;74;10;Antec. de Boleto;;0;;0;;;BRB [ANA] [011594-4] [CC] [COB];;;
232021;Extrato/110147;Banco Brb - Par. 110147(04-7);0;2/1/2015;09:08:12;1492;0;-1492;;;;110147;60;Francielly;1;;1578;15/1/2015;15/1/2015;;;2015;60;;;;;Marista.Déb.antecipação de Cobrança;;COLÉGIO OLIMPO LTDA;;74;10;Antec. de Boleto;;0;;0;;;BRB [ANA] [011594-4] [CC] [COB];;;
232022;Extrato/110148;Banco Brb - Par. 110148(05-7);0;2/1/2015;09:08:12;1418;0;-1418;;;;110148;60;Francielly;1;;1578;15/1/2015;15/1/2015;;;2015;60;;;;;Marista.Déb.antecipação de Cobrança;;COLÉGIO OLIMPO LTDA;;74;10;Antec. de Boleto;;0;;0;;;BRB [ANA] [011594-4] [CC] [COB];;;
232023;Extrato/110149;Banco Brb - Par. 110149(06-7);0;2/1/2015;09:08:12;1492;0;-1492;;;;110149;60;Francielly;1;;1578;15/1/2015;15/1/2015;;;2015;60;;;;;Marista.Déb.antecipação de Cobrança;;COLÉGIO OLIMPO LTDA;;74;10;Antec. de Boleto;;0;;0;;;BRB [ANA] [011594-4] [CC] [COB];;;
232025;Cheques Depositados;Remessa Olimpo Anápolis;17172,6;2/1/2015;09:08:45;0;0;17172,6;;;;;7;Anapaula;1;;1526;15/1/2015;30/6/2015;;;2015;60;;;;;Remessa Olimpo Anápolis;;COLÉGIO OLIMPO LTDA;;74;8;Transferência Bancária;;;;0;;;BRB [ANA] [011594-4] [CC] [COB];;;
232052;Extrato/110174;Banco Brb - Cód. 110174;0;2/1/2015;09:28:41;1260;0;-1260;;;;110174;60;Francielly;1;;575;15/1/2015;15/1/2015;;;2015;60;;;;;CA.Tarifas Bancárias;;COLÉGIO OLIMPO LTDA;;12;9;Débito em conta;;0;;0;;;BRB [GYN] [011616-0] [CC] [COB];;;
232053;Extrato/110175;Banco Brb - Cód. 110175;0;2/1/2015;09:28:41;23,63;0;-23,63;;;;110175;60;Francielly;1;;1512;15/1/2015;15/1/2015;;;2015;60;;;;;IOF;;COLÉGIO OLIMPO LTDA;;12;9;Débito em conta;;0;;0;;;BRB [GYN] [011616-0] [CC] [COB];;;
232054;Extrato/110176;Banco Brb - Cód. 110176;0;2/1/2015;09:28:41;79,33;0;-79,33;;;;110176;60;Francielly;1;;1512;15/1/2015;15/1/2015;;;2015;60;;;;;IOF;;COLÉGIO OLIMPO LTDA;;12;9;Débito em conta;;0;;0;;;BRB [GYN] [011616-0] [CC] [COB];;;
